,data_value
0,1724723624
1,1984372895
2,1953584589
3,772071127
4,1885848132
5,2137590557
6,1077790347
7,429382350
8,570531575
9,1736385252
10,456941887
11,1137843442
12,1510220348
13,541851130
14,566002532
15,241350278
16,1937470292
17,2026984221
18,462999595
19,52384386
20,989574563
21,577375611
22,170938372
23,56809023
24,397632944
25,1497230947
26,129734287
27,1262851023
28,630856847
29,574774030
30,223623597
31,356446593
32,751732068
33,1913768416
34,124541126
35,364000168
36,596519035
37,712484924
38,1284090900
39,1328132075
40,1398299456
41,875843792
42,219560723
43,397681333
44,752980783
45,11114658
46,759694474
47,208356580
48,1996358845
49,1989300373
50,50129111
51,590858544
52,646576820
53,2053378700
54,352364805
55,977474617
56,950036697
57,259502843
58,943350842
59,2058079410
60,1171715251
61,1343411861
62,349625231
63,407428139
64,258330105
65,1230742984
66,867534615
67,1000976878
68,1254343499
69,1584715607
70,1037805846
71,1747226327
72,1209327432
73,311493775
74,71780652
75,1485599895
76,249511156
77,209470840
78,224865665
79,193646279
80,1794094191
81,1271731237
82,709382056
83,1894436044
84,1390293533
85,1771583462
86,767435267
87,1916178393
88,818148423
89,973159270
90,896665705
91,1026852135
92,1008610794
93,1925416411
94,2022365209
95,1314894945
96,119252243
97,309129702
98,1788376210
99,1105041933
100,1281863055
101,197763466
102,1460587187
103,1367082838
104,652603940
105,229854962
106,577057764
107,61413964
108,973188014
109,59297520
110,1883037317
111,2106371031
112,2140843744
113,1461383972
114,1355250022
115,2134249664
116,1959050944
117,1648239352
118,381221794
119,1108777470
120,2135526807
121,1555789654
122,516898552
123,1679573359
124,651677284
125,1217438409
126,1747127486
127,385342456
128,1938239118
129,2133042653
130,958751944
131,1366453350
132,1861003702
133,721888585
134,1514765499
135,2025746083
136,1739742300
137,461162259
138,1566423409
139,424610054
140,832416390
141,699402486
142,1541566566
143,1960230506
144,1617342637
145,1327225840
146,263112489
147,1925468039
148,624330265
149,1042153727
150,1500837729
151,683111701
152,1932756403
153,2143721068
154,1540710269
155,1095315226
156,1769068600
157,1939266844
158,1458737025
159,1713005799
160,1548166984
161,2128521480
162,1880402078
163,155386115
164,2046267427
165,1887859333
166,28914936
167,2065123088
168,1302321160
169,793712333
170,374813915
171,1698257255
172,210988936
173,178023036
174,375292500
175,1683838846
176,715225586
177,2003508739
