,data_value
0,1652398504
1,2049273794
2,1775884341
3,463863922
4,1670183483
5,1280786319
6,754622556
7,622899027
8,263062203
9,503315245
10,1627183155
11,2089388409
12,487834770
13,295288104
14,1268295323
15,90355493
16,1363353924
17,2134245449
18,809248521
19,1417882336
20,1618829496
21,596123922
22,1041256321
23,1791585337
24,1947497874
25,2130225360
26,1137335565
27,161651221
28,559759477
29,316068662
30,1908059911
31,1616050009
32,564366374
33,1573523550
34,732757424
35,1019283669
36,1484151601
37,468094525
38,11358518
39,454325590
40,1519662326
41,2074650573
42,682262635
43,1281278211
44,609986111
45,1834996333
46,1250615352
47,64429764
48,1179710171
49,1986486961
50,1334956948
51,1995706224
52,1039233347
53,619585756
54,1232528404
55,1950780289
56,254824910
57,325852032
58,115472310
59,1156737074
60,799976285
61,1762809096
62,2079369481
63,879488317
64,1007469728
65,1626021898
66,101300456
67,1447760951
68,736504952
69,737919815
70,843502481
71,750363417
72,1125235059
73,1141952589
74,234288791
75,514101936
76,692168576
77,1245963838
78,1269624406
79,94705206
80,628735525
81,1519845261
82,2050100614
83,2028574867
84,1698928187
85,975270778
86,365175208
87,813531712
88,295238140
89,1047911086
90,876054880
91,422788933
92,1761328852
93,1045565039
94,1239273515
95,1517741475
96,744202438
97,279108505
98,1991784353
99,413502100
100,30841021
101,1080058702
102,490744400
103,470244934
104,1211860694
105,1422086308
106,72792202
107,475567810
108,369267451
109,17267958
110,1946920064
111,613266384
112,1514452384
113,556330337
114,1857432488
115,394383293
116,894337669
117,1624492946
118,549595774
119,219812917
120,670790833
121,888771852
122,1080690278
123,1848771073
124,2006124723
125,1705485524
126,1146425152
127,2027012513
128,1375851868
129,1656079765
130,535557774
131,1883257541
132,1226139112
133,2089438398
134,2067239194
135,526080097
136,665812827
137,1988315073
138,1298345077
139,1536049558
140,1831672694
141,683770895
142,2080987507
143,698674981
144,770687711
145,1672409216
146,873190061
147,550431849
148,1082402689
149,453676017
150,1458405261
151,1903232241
152,1109025405
153,184794683
154,551263929
155,825279567
156,512070574
157,1313720004
158,1284593571
159,1193806069
160,2038614835
161,302568247
162,1130554381
163,1989367344
164,1614525996
165,2031425189
166,1955448183
167,629110502
168,589142535
169,1052574925
170,1488250819
171,865536085
172,353057485
173,1012040051
174,291664502
175,186644963
176,115079208
177,190561208
178,947743166
179,1745049178
180,873001939
181,42732565
182,361282930
183,472514454
184,1670772119
185,189935029
186,1146049696
187,480666423
188,751797562
189,806457732
190,1016086235
191,236568675
192,1278308835
193,1969963393
194,57623588
195,184547700
196,1624574791
197,913620477
198,375799844
199,1450402035
200,78520048
201,772645629
202,2105298733
203,57472444
204,2078649631
205,106446803
206,1943428084
207,1177335347
208,79590327
209,1457829111
210,578289575
211,1902446441
212,205314359
213,2009615893
214,2083563370
215,734155942
216,6750008
217,1140570001
218,1817577801
219,2101175955
220,1945694500
221,479552733
222,172146335
223,874242223
224,1190987903
225,789518068
226,2068626123
227,615252727
228,431240414
229,819436026
230,80997519
231,2121294948
232,1370895479
233,288454616
234,1705859128
235,2042892894
236,920577792
237,578948913
238,1994345554
239,263291897
240,608343166
241,741304522
242,1488881755
243,819652059
244,1182344890
245,1412050315
246,357612425
247,1032508686
248,1938637099
249,1366817926
250,1173069551
251,1804222010
252,77623696
253,1270159803
254,1000327503
255,318316587
256,808489886
257,24128460
258,1917668140
259,1713653838
260,1549646639
261,1276840099
262,131263200
263,1047932190
264,1764699594
265,965532794
266,1323547807
267,1685675921
268,270283737
269,1647831292
270,1648532787
271,1935507236
272,1664829991
273,233717089
274,222687168
275,1331802944
276,2140576759
277,1279108491
278,265498695
279,1713651768
280,775392528
281,1372748020
282,413128794
283,2052492074
284,788927298
285,115513290
286,1280661774
287,387668187
288,401855277
289,1778349688
290,769459680
291,347812990
292,484014692
293,1181733152
294,250517959
295,999707131
296,293100285
297,119578649
298,2102375031
299,864155638
300,1310761304
301,1591329404
302,1276948116
303,2063146607
304,939513119
305,107898135
306,1337619887
307,1604390064
308,67635244
309,341536438
310,144742172
311,130199678
312,788386769
313,749870258
314,19720687
315,879961910
316,1846073813
317,1793495093
318,1025584909
319,1166609032
320,979082193
321,1538902710
322,1650280206
323,871126452
324,176195754
325,1604924706
326,1611987440
327,13957397
328,824607384
